   NAME            RA               DEC                   LII                 BII                 FLUX_8GHZ            FLUX_8GHZ_ERR         BZCAT_NAME       OTHER_NAME     
  2000-776 ,   301.776903     ,  -77.5117350     ,    316.73928833     ,   -30.895984650     ,   0.15600000322     ,   0.37000000477E-01 ,                 ,   3FGL J2007.7- , 
  0948-772 ,   146.964476     ,  -77.5264490     ,    293.69519043     ,   -18.325860977     ,   0.15899999440     ,   0.57999998331E-01 ,  5BZQJ0947-7731 ,  5BZQJ0947-7731 , 
  1716-771 ,   260.961855     ,  -77.2307080     ,    315.85046387     ,   -22.183559418     ,   0.17100000381     ,   0.54000001401E-01 ,                 ,  3FGL J1723.7-7 , 
  1637-771 ,   251.067167     ,  -77.2635590     ,    314.60430908     ,   -20.336385727     ,   0.27500000596     ,   0.13600000739     ,                 ,                 , 
  1610-771 ,   244.455318     ,  -77.2884630     ,    313.61126709     ,   -19.220159531     ,    1.5839999914     ,   0.77300000191     ,  5BZQJ1617-7717 ,  5BZQJ1617-7717 , 
  0736-770 ,   113.680915     ,  -77.1870800     ,    289.21444702     ,   -24.187231064     ,   0.22800000012     ,   0.76999999583E-01 ,                 ,   3FGL J0734.3- , 
  0312-770 ,   47.9802090     ,  -76.8641240     ,    293.34002686     ,   -37.730403900     ,    1.0429999828     ,   0.43099999428     ,  5BZQJ0311-7651 ,  5BZQJ0311-7651 , 
  2142-765 ,   326.971464     ,  -76.3581170     ,    315.02987671     ,   -36.481204987     ,   0.29199999571     ,   0.60000000522E-02 ,  5BZQJ2147-7621 ,  5BZQJ2147-7621 , 
  1934-762 ,   295.380260     ,  -76.0968320     ,    318.62496948     ,   -29.681468964     ,   0.15500000119     ,   0.46000000089E-01 ,                 ,                 , 
  2153-760 ,   329.496771     ,  -75.8315580     ,    315.05447388     ,   -37.284313202     ,   0.29899999499     ,   0.97999997437E-01 ,                 ,                 , 
  0100-760 ,   15.5777500     ,  -75.7810360     ,    301.90765381     ,   -41.590789795     ,   0.32400000095     ,   0.67000001669E-01 ,  5BZQJ0102-7546 ,  5BZQJ0102-7546 , 
  2142-758 ,   326.803044     ,  -75.6036740     ,    315.80258179     ,   -36.913627625     ,    1.0620000362     ,   0.21299999952     ,  5BZQJ2147-7536 ,  5BZQJ2147-7536 , 
  0253-754 ,   43.2953430     ,  -75.2213020     ,    293.15261841     ,   -39.717700958     ,   0.17700000107     ,   0.57999998331E-01 ,                 ,                 , 
  0409-752 ,   62.2043300     ,  -75.1224970     ,    288.89169312     ,   -36.258892059     ,   0.29100000858     ,   0.31999999285     ,                 ,                 , 
  0637-752 ,   98.9437830     ,  -75.2713380     ,    286.40878296     ,   -27.264295578     ,    2.9960000515     ,    1.5889999866     ,  5BZQJ0635-7516 ,  5BZQJ0635-7516 , 
  1324-748 ,   202.164172     ,  -75.1495220     ,    305.59310913     ,   -12.749054909     ,   0.17000000179     ,   0.40000001900E-02 ,                 ,                 , 
  1810-745 ,   274.166993     ,  -74.4853740     ,    319.87945557     ,   -24.207353592     ,   0.28099998832     ,   0.46000000089E-01 ,                 ,                 , 
  0450-743 ,   72.2023250     ,  -74.2920130     ,    286.52206421     ,   -34.289005280     ,   0.30899998546     ,   0.35000000149E-01 ,  5BZQJ0448-7417 ,  5BZQJ0448-7417 , 
  1606-742 ,   243.141188     ,  -74.3944840     ,    315.60876465     ,   -17.012496948     ,   0.20399999619     ,   0.28000000864E-01 ,                 ,                 , 
  2337-740 ,   355.002101     ,  -73.8207210     ,    309.45547485     ,   -42.705711365     ,   0.18400000036     ,   0.71000002325E-01 ,                 ,                 , 
  1134-739 ,   174.040248     ,  -74.2625760     ,    298.02206421     ,   -12.369023323     ,   0.17000000179     ,   0.10000000149     ,                 ,   3FGL J1136.1- , 
  1005-739 ,   151.517272     ,  -74.1622470     ,    292.37484741     ,   -15.018216133     ,   0.39700001478     ,   0.20700000226     ,  5BZQJ1006-7409 ,  5BZQJ1006-7409 , 
  0758-737 ,   119.308655     ,  -73.8859370     ,    286.40597534     ,   -21.705347061     ,   0.29199999571     ,   0.25000000000     ,                 ,                 , 
  0543-735 ,   85.4615660     ,  -73.5375960     ,    284.56143188     ,   -30.930938721     ,   0.21299999952     ,   0.48999998719E-01 ,                 ,    SSTSL2 J0542 , 
  0333-729 ,   53.1791670     ,  -72.8179240     ,    288.44705200     ,   -39.628768921     ,   0.17599999905     ,   0.37999998778E-01 ,  5BZQJ0332-7249 ,  5BZQJ0332-7249 , 
  1719-729 ,   261.504635     ,  -72.9999980     ,    319.95748901     ,   -20.374006271     ,   0.23100000620     ,   0.74000000954E-01 ,                 ,    PKS 1719-729 , 
  0530-727 ,   82.3751760     ,  -72.7579190     ,    283.82373047     ,   -31.936790466     ,   0.75599998236     ,   0.13699999452     ,                 ,   3FGL J0529.8- , 
