id,5BZCATName,SourceClassification,R.A.(J2000),Dec.(J2000),Redshift
792,5BZQJ0540-5418,QSORLoudflatradiosp.,85.19104,-54.30614,1.185
793,5BZQJ0541+5312,QSORLoudflatradiosp.,85.31738,53.20689,1.275
794,5BZQJ0541-0541,QSORLoudflatradiosp.,85.40867,-5.69706,0.838
795,5BZBJ0543-5532,BLLac,85.98837,-55.53539,0.273
796,5BZQJ0544-2241,QSORLoudflatradiosp.,86.03154,-22.68611,1.537
797,5BZQJ0546-6415,QSORLoudflatradiosp.,86.67433,-64.25608,0.323
798,5BZBJ0546-2204,BLLacCandidate,86.7365,-22.08214,0.247
799,5BZQJ0547-6728,QSORLoudflatradiosp.,86.95925,-67.46714,1.01
800,5BZQJ0549-5246,QSORLoudflatradiosp.,87.43254,-52.77389,0.447
801,5BZQJ0550-5732,QSORLoudflatradiosp.,87.53979,-57.54008,2.001
802,5BZGJ0550-3216,BLLac-galaxydominated,87.66904,-32.27147,0.069
803,5BZQJ0551-1909,QSORLoudflatradiosp.,87.98025,-19.15583,0.73
804,5BZBJ0553-2034,BLLac,88.38792,-20.57186,
805,5BZQJ0554+6857,QSORLoudflatradiosp.,88.50338,68.96511,1.373
806,5BZQJ0555+3948,QSORLoudflatradiosp.,88.87837,39.81367,2.365
807,5BZBJ0556-4351,BLLac,89.07808,-43.86278,
808,5BZQJ0557+2413,QSORLoudflatradiosp.,89.26963,24.23203,3.228
809,5BZQJ0558-1317,QSORLoudflatradiosp.,89.51062,-13.29478,1.725
810,5BZBJ0558-3838,BLLac,89.52542,-38.64153,0.302
811,5BZBJ0558-7459,BLLac,89.69183,-74.98478,
812,5BZQJ0559-4529,QSORLoudflatradiosp.,89.79813,-45.4945,0.687
813,5BZQJ0559+5804,QSORLoudflatradiosp.,89.80579,58.06761,0.904
814,5BZQJ0600-3937,QSORLoudflatradiosp.,90.13079,-39.61733,1.661
815,5BZBJ0601+3838,BLLac,90.26192,38.64144,
816,5BZQJ0601-7036,QSORLoudflatradiosp.,90.29662,-70.60244,2.409
817,5BZQJ0601+2324,QSORLoudflatradiosp.,90.44733,23.41486,0.274
818,5BZQJ0601-2736,QSORLoudflatradiosp.,90.453,-27.60611,1.664
819,5BZQJ0601-2004,QSORLoudflatradiosp.,90.47013,-20.07922,1.216
820,5BZQJ0603+1742,QSORLoudflatradiosp.,90.78804,17.70467,1.738
821,5BZQJ0603-1716,QSORLoudflatradiosp.,90.99054,-17.2745,2.711
822,5BZBJ0604-4817,BLLac,91.036,-48.29039,
823,5BZQJ0604-4225,QSORLoudflatradiosp.,91.10488,-42.42503,0.611
824,5BZQJ0604+2429,QSORLoudflatradiosp.,91.22967,24.49861,1.133
825,5BZQJ0606-0724,QSORLoudflatradiosp.,91.68146,-7.40839,1.277
826,5BZQJ0606-0024,QSORLoudflatradiosp.,91.73929,-0.41603,1.028
827,5BZBJ0607-2518,BLLac,91.80992,-25.31653,0.275
828,5BZBJ0607+4739,BLLacCandidate,91.84687,47.66303,
829,5BZQJ0607+6720,QSORLoudflatradiosp.,91.96946,67.34872,1.97
830,5BZQJ0607-0834,QSORLoudflatradiosp.,91.99875,-8.58056,0.87
831,5BZUJ0608-1520,BlazarUncertaintype,92.00637,-15.34361,1.094
832,5BZQJ0608-2220,QSORLoudflatradiosp.,92.24871,-22.33914,1.926
833,5BZBJ0609-0247,BLLac,92.31275,-2.7985,
834,5BZQJ0609-0615,QSORLoudflatradiosp.,92.41642,-6.25161,2.219
835,5BZQJ0609-1542,QSORLoudflatradiosp.,92.42063,-15.71131,0.324
836,5BZBJ0610-1847,BLLac,92.57454,-18.79447,
837,5BZQJ0610-6058,QSORLoudflatradiosp.,92.62629,-60.97725,1.773
838,5BZQJ0610-2301,QSORLoudflatradiosp.,92.66163,-23.02939,2.854
839,5BZQJ0612-4337,QSORLoudflatradiosp.,93.11921,-43.63011,3.461
840,5BZQJ0612-3138,QSORLoudflatradiosp.,93.12358,-31.6495,0.873
841,5BZBJ0612+4122,BLLac,93.21325,41.37706,
842,5BZBJ0613+7107,BLLac,93.43054,71.12408,0.267
843,5BZQJ0613+1306,QSORLoudflatradiosp.,93.49037,13.11261,0.745
844,5BZQJ0614-2536,QSORLoudflatradiosp.,93.57171,-25.61486,2.15
845,5BZQJ0614+6046,QSORLoudflatradiosp.,93.59946,60.77272,2.702
846,5BZBJ0615-3117,BLLac,93.83017,-31.28931,
847,5BZQJ0617-2200,QSORLoudflatradiosp.,94.25854,-22.00781,2.316
848,5BZBJ0617+5701,BLLac,94.3205,57.02122,
849,5BZGJ0617-1715,BLLac-galaxydominated,94.38921,-17.25689,0.098
850,5BZQJ0617+7816,QSORLoudflatradiosp.,94.48725,78.26872,1.43
851,5BZQJ0618+4620,QSORLoudflatradiosp.,94.53425,46.33778,0.607
852,5BZQJ0618-7843,QSORLoudflatradiosp.,94.62538,-78.71728,0.942
853,5BZUJ0619-1140,BlazarUncertaintype,94.76708,-11.68192,0.97
854,5BZUJ0620-2515,BlazarUncertaintype,95.13383,-25.25486,1.9
855,5BZBJ0621+1747,BLLac,95.44896,17.79308,
856,5BZBJ0621-3411,BLLac,95.45704,-34.19706,0.529
857,5BZUJ0621+3750,BlazarUncertaintype,95.49013,37.84917,
858,5BZQJ0622-1927,QSORLoudflatradiosp.,95.61892,-19.45506,2.19
859,5BZUJ0622+3326,BlazarUncertaintype,95.71758,33.43622,1.062
860,5BZQJ0623-6436,QSORLoudflatradiosp.,95.78204,-64.60578,0.129
861,5BZQJ0623-4413,QSORLoudflatradiosp.,95.88246,-44.21736,0.688
862,5BZBJ0623-5257,BLLac,95.90779,-52.96556,
863,5BZQJ0624+3856,QSORLoudflatradiosp.,96.07925,38.94686,3.469
864,5BZBJ0624-3230,BLLac,96.18771,-32.51536,0.252
865,5BZBJ0625+4440,BLLac,96.32613,44.66711,
866,5BZQJ0625-5438,QSORLoudflatradiosp.,96.46758,-54.6475,2.051
867,5BZBJ0628-6248,BLLac,97.23954,-62.81242,
868,5BZBJ0629-1959,BLLac,97.349,-19.98881,
869,5BZQJ0630-1323,QSORLoudflatradiosp.,97.72458,-13.39292,1.021
870,5BZBJ0630-2406,BLLac,97.74796,-24.11283,
871,5BZQJ0631-4154,QSORLoudflatradiosp.,97.8,-41.90747,1.416
872,5BZQJ0631-1410,QSORLoudflatradiosp.,97.83429,-14.1755,1.017
873,5BZQJ0631+5311,QSORLoudflatradiosp.,97.89467,53.191,2.204
874,5BZQJ0632-5404,QSORLoudflatradiosp.,98.00483,-54.08264,0.193
875,5BZQJ0632-2614,QSORLoudflatradiosp.,98.02717,-26.23689,0.717
876,5BZQJ0632+3200,QSORLoudflatradiosp.,98.12825,32.01489,1.831
877,5BZQJ0633-2223,QSORLoudflatradiosp.,98.3615,-22.38964,1.508
878,5BZBJ0635-2620,BLLac,98.83712,-26.34442,
879,5BZQJ0635-7516,QSORLoudflatradiosp.,98.94379,-75.27133,0.653
880,5BZQJ0636-2113,QSORLoudflatradiosp.,99.0025,-21.22006,1.883
881,5BZBJ0639-3346,BLLacCandidate,99.83708,-33.76669,
882,5BZQJ0639+7324,QSORLoudflatradiosp.,99.8415,73.41611,1.85
883,5BZQJ0642+6758,QSORLoudflatradiosp.,100.51775,67.97656,3.18
884,5BZQJ0642-6150,QSORLoudflatradiosp.,100.69583,-61.83575,1.223
885,5BZGJ0643+4214,BLLac-galaxydominated,100.8615,42.23856,0.089
886,5BZQJ0644-3459,QSORLoudflatradiosp.,101.10533,-34.99497,2.165
887,5BZQJ0644+3914,QSORLoudflatradiosp.,101.22379,39.24653,1.266
888,5BZUJ0645+6024,BlazarUncertaintype,101.2565,60.4125,0.832
889,5BZQJ0646-3903,QSORLoudflatradiosp.,101.62883,-39.06086,0.681
890,5BZQJ0646+4451,QSORLoudflatradiosp.,101.63346,44.85461,3.396
891,5BZQJ0648-4347,QSORLoudflatradiosp.,102.05592,-43.78767,1.029
892,5BZQJ0648-3044,QSORLoudflatradiosp.,102.05875,-30.73881,1.153
893,5BZQJ0648-1744,QSORLoudflatradiosp.,102.11871,-17.73486,1.232
894,5BZBJ0648+1516,BLLac,102.19854,15.27356,0.179
895,5BZQJ0649-5920,QSORLoudflatradiosp.,102.36925,-59.34128,2.272
896,5BZQJ0650+6001,QSORLoudflatradiosp.,102.63021,60.02906,0.455
897,5BZBJ0650+2502,BLLac,102.69367,25.04989,0.203
898,5BZQJ0650+5616,QSORLoudflatradiosp.,102.70063,56.27625,1.427
899,5BZQJ0653+3705,QSORLoudflatradiosp.,103.49283,37.09461,1.982
900,5BZQJ0654+5042,QSORLoudflatradiosp.,103.59204,50.70664,1.253
901,5BZQJ0654+4514,QSORLoudflatradiosp.,103.59879,45.23986,0.928
902,5BZGJ0654+4247,BLLac-galaxydominated,103.68137,42.79964,0.126
903,5BZGJ0656+4237,BLLac-galaxydominated,104.04442,42.61744,0.059
904,5BZQJ0656-0323,QSORLoudflatradiosp.,104.04633,-3.38522,0.634
905,5BZBJ0656-2403,BLLac,104.09446,-24.05542,0.371
906,5BZQJ0657+2423,QSORLoudflatradiosp.,104.27367,24.39872,1.925
907,5BZUJ0658-5840,BlazarUncertaintype,104.55742,-58.67433,0.421
908,5BZQJ0659-2745,QSORLoudflatradiosp.,104.95783,-27.75522,1.727
909,5BZBJ0700-6610,BLLac,105.13017,-66.17922,
910,5BZQJ0701-4634,QSORLoudflatradiosp.,105.39396,-46.57683,0.822
911,5BZQJ0702+8549,QSORLoudflatradiosp.,105.63633,85.83119,1.059
912,5BZBJ0702-1951,BLLac,105.67875,-19.85611,
913,5BZBJ0706+3744,BLLac,106.63204,37.74342,
914,5BZBJ0706+7741,BLLac,106.71383,77.69361,
915,5BZBJ0707+6110,BLLac,106.75258,61.16989,
916,5BZBJ0708+2241,BLLac,107.24288,22.69319,
917,5BZGJ0709+5010,BLLac-galaxydominated,107.39246,50.18225,0.02
918,5BZUJ0709-0255,BlazarUncertaintype,107.43771,-2.92153,
919,5BZBJ0710+5908,BLLac,107.62521,59.13894,0.125
920,5BZQJ0710+4220,QSORLoudflatradiosp.,107.68471,42.34861,1.163
921,5BZBJ0710+4732,BLLac,107.69208,47.53642,1.292
922,5BZBJ0712+5719,BLLac,108.07875,57.33,0.095
923,5BZBJ0712+5033,BLLac,108.182,50.55631,
924,5BZUJ0713+4349,BlazarUncertaintype,108.40904,43.82139,0.518
925,5BZQJ0713+1935,QSORLoudflatradiosp.,108.48196,19.58344,0.54
926,5BZQJ0714+3534,QSORLoudflatradiosp.,108.60342,35.57772,1.62
927,5BZQJ0717+4538,QSORLoudflatradiosp.,109.46604,45.63425,0.94
928,5BZBJ0718-4319,BLLac,109.68183,-43.33047,
929,5BZQJ0719-6218,QSORLoudflatradiosp.,109.76862,-62.30067,1.247
930,5BZQJ0719+3307,QSORLoudflatradiosp.,109.83092,33.11936,0.779
931,5BZQJ0721+0406,QSORLoudflatradiosp.,110.34962,4.11228,0.665
932,5BZBJ0721+7120,BLLac,110.47271,71.34344,
933,5BZQJ0722+3722,QSORLoudflatradiosp.,110.50521,37.37461,1.63
934,5BZBJ0722-0731,BLLac,110.74867,-7.52633,
935,5BZBJ0723+5841,BLLacCandidate,110.8085,58.68892,
936,5BZBJ0723-8247,BLLac,110.91421,-82.79475,
937,5BZQJ0723+2859,QSORLoudflatradiosp.,110.97846,28.99164,0.966
938,5BZQJ0724-0715,QSORLoudflatradiosp.,111.07204,-7.25567,0.28
939,5BZBJ0724+2621,BLLacCandidate,111.17808,26.3585,
940,5BZQJ0725+1425,QSORLoudflatradiosp.,111.32004,14.42047,1.038
941,5BZUJ0725-0054,BlazarUncertaintype,111.461,-0.91569,0.128
942,5BZQJ0726+2153,QSORLoudflatradiosp.,111.55942,21.88892,1.857
943,5BZQJ0726-4728,QSORLoudflatradiosp.,111.60933,-47.4815,1.686
944,5BZQJ0726+0636,QSORLoudflatradiosp.,111.65146,6.61192,1.95
945,5BZBJ0726+3734,BLLac,111.748,37.57306,0.872
946,5BZUJ0727+4844,BlazarUncertaintype,111.76292,48.73614,2.46
947,5BZQJ0728-4745,QSORLoudflatradiosp.,112.09796,-47.75472,2.282
948,5BZQJ0728+5701,QSORLoudflatradiosp.,112.20679,57.02344,0.426
949,5BZUJ0729-1320,BlazarUncertaintype,112.32425,-13.33397,0.344
950,5BZQJ0730-1141,QSORLoudflatradiosp.,112.57963,-11.68683,1.589
951,5BZBJ0730+3307,BLLacCandidate,112.60858,33.12303,0.112
952,5BZUJ0730-3208,BlazarUncertaintype,112.65958,-32.13894,0.516
953,5BZQJ0730+4049,QSORLoudflatradiosp.,112.71392,40.83072,2.501
954,5BZQJ0731+2451,QSORLoudflatradiosp.,112.89062,24.86628,1.089
955,5BZBJ0731+2804,BLLac,112.96967,28.07586,0.248
956,5BZQJ0732+2548,QSORLoudflatradiosp.,113.2345,25.81075,1.443
957,5BZBJ0733+3515,BLLacCandidate,113.37317,35.26189,0.177
958,5BZBJ0733+4111,BLLac,113.44504,41.18886,0.67
959,5BZQJ0733+5022,QSORLoudflatradiosp.,113.46883,50.36919,0.72
960,5BZQJ0733+0456,QSORLoudflatradiosp.,113.48938,4.93733,3.01
961,5BZQJ0735+4750,QSORLoudflatradiosp.,113.75962,47.83567,0.782
962,5BZQJ0735+7115,QSORLoudflatradiosp.,113.75975,71.25167,0.795
963,5BZQJ0736+2604,QSORLoudflatradiosp.,114.24196,26.08053,0.997
964,5BZBJ0737+2846,BLLac,114.25775,28.77942,0.272
965,5BZBJ0737+3216,BLLac,114.27325,32.27556,
966,5BZGJ0737+3517,BLLac-galaxydominated,114.33717,35.29492,0.21
967,5BZGJ0737+5941,BLLac-galaxydominated,114.37533,59.68422,0.041
968,5BZBJ0738+1742,BLLac,114.53079,17.70528,0.424
969,5BZQJ0738-6735,QSORLoudflatradiosp.,114.73542,-67.59744,1.663
970,5BZQJ0739+0137,QSORLoudflatradiosp.,114.82513,1.61794,0.189
971,5BZQJ0740+2852,QSORLoudflatradiosp.,115.13975,28.87981,0.711
972,5BZBJ0740+3226,BLLac,115.22746,32.43356,
973,5BZGJ0741+3205,BLLac-galaxydominated,115.27479,32.09556,0.179
974,5BZQJ0741+3112,QSORLoudflatradiosp.,115.29458,31.20006,0.631
975,5BZQJ0741+2557,QSORLoudflatradiosp.,115.37392,25.95897,2.754
976,5BZQJ0741-4709,QSORLoudflatradiosp.,115.43854,-47.15722,0.765
977,5BZQJ0742+4900,QSORLoudflatradiosp.,115.51146,49.00433,2.312
978,5BZQJ0742+3944,QSORLoudflatradiosp.,115.65579,39.74325,2.205
979,5BZUJ0742+5444,BlazarUncertaintype,115.66579,54.74019,0.723
980,5BZUJ0742+3744,BlazarUncertaintype,115.67579,37.73392,0.806
981,5BZBJ0742+3018,BLLac,115.67883,30.31,0.495
982,5BZBJ0743+1714,BLLac,115.77129,17.24011,
983,5BZQJ0743-5619,QSORLoudflatradiosp.,115.83533,-56.32583,2.319
984,5BZQJ0743-6726,QSORLoudflatradiosp.,115.88171,-67.44042,1.512
985,5BZQJ0743+2328,QSORLoudflatradiosp.,115.93738,23.4775,0.776
986,5BZBJ0744+7433,BLLac,116.02233,74.56617,0.314
987,5BZQJ0744+2920,QSORLoudflatradiosp.,116.214,29.33503,1.18
988,5BZGJ0745+3312,BLLac-galaxydominated,116.27012,33.21567,0.22
989,5BZQJ0745+1011,QSORLoudflatradiosp.,116.38775,10.18686,2.624
990,5BZQJ0745-0044,QSORLoudflatradiosp.,116.47533,-0.73819,0.994
991,5BZBJ0745+2226,BLLac,116.49658,22.44747,
992,5BZQJ0745+3313,QSORLoudflatradiosp.,116.49717,33.22614,0.61
993,5BZBJ0746-1555,BLLac,116.576,-15.92631,
994,5BZQJ0746+2549,QSORLoudflatradiosp.,116.60779,25.81725,2.979
995,5BZQJ0746-5618,QSORLoudflatradiosp.,116.74258,-56.30931,1.14
996,5BZQJ0747-6744,QSORLoudflatradiosp.,116.77083,-67.74453,1.025
997,5BZBJ0747+7639,BLLacCandidate,116.81087,76.65481,
998,5BZUJ0747+0905,BlazarUncertaintype,116.84258,9.09814,
999,5BZQJ0748-5258,QSORLoudflatradiosp.,117.05279,-52.9755,1.802
1000,5BZQJ0748+2400,QSORLoudflatradiosp.,117.15046,24.00669,0.409
1001,5BZGJ0748+2115,BLLac-galaxydominated,117.18117,21.26253,0.263
1002,5BZQJ0749+4510,QSORLoudflatradiosp.,117.27708,45.17606,0.192
1003,5BZGJ0749+2313,BLLac-galaxydominated,117.30833,23.22131,0.175
1004,5BZQJ0749+7420,QSORLoudflatradiosp.,117.34358,74.34489,1.629
1005,5BZBJ0749+7451,BLLac,117.37321,74.86244,0.607
1006,5BZQJ0750+1823,QSORLoudflatradiosp.,117.50138,18.3865,1.161
1007,5BZQJ0750+4814,QSORLoudflatradiosp.,117.58517,48.24822,1.957
1008,5BZQJ0750+1021,QSORLoudflatradiosp.,117.637,10.35742,1.117
1009,5BZQJ0750+1231,QSORLoudflatradiosp.,117.71687,12.518,0.889
1010,5BZQJ0750-6726,QSORLoudflatradiosp.,117.74812,-67.43961,1.237
1011,5BZGJ0751+2913,BLLac-galaxydominated,117.78987,29.22653,0.194
1012,5BZQJ0751-0046,QSORLoudflatradiosp.,117.79254,-0.78086,2.101
1013,5BZGJ0751+1730,BLLac-galaxydominated,117.8545,17.51419,0.187
1014,5BZBJ0751+3928,BLLac,117.93725,39.47156,
1015,5BZQJ0751+3313,QSORLoudflatradiosp.,117.97362,33.22217,1.938
1016,5BZQJ0752+3730,QSORLoudflatradiosp.,118.17046,37.50675,0.44
1017,5BZBJ0753+5352,BLLac,118.25575,53.88322,
1018,5BZGJ0753+2921,BLLac-galaxydominated,118.35254,29.35886,0.161
1019,5BZGJ0754+4202,BLLac-galaxydominated,118.50279,42.04672,0.369
1020,5BZBJ0754-1147,BLLac,118.61025,-11.78803,
1021,5BZGJ0754+4546,BLLac-galaxydominated,118.64925,45.77919,0.456
1022,5BZGJ0754+3910,BLLac-galaxydominated,118.65442,39.17994,0.096
1023,5BZBJ0754+4823,BLLac,118.69029,48.39742,
1024,5BZQJ0754+3033,QSORLoudflatradiosp.,118.70354,30.56528,0.796
1025,5BZBJ0755+3726,BLLac,118.84629,37.43856,0.606
1026,5BZBJ0756+4140,BLLac,119.01138,41.67772,0.579
1027,5BZGJ0756+3834,BLLac-galaxydominated,119.02942,38.56694,0.216
1028,5BZQJ0756-1542,QSORLoudflatradiosp.,119.21125,-15.7015,1.42
1029,5BZBJ0757+0956,BLLac,119.27767,9.94303,0.266
1030,5BZGJ0758+2705,BLLac-galaxydominated,119.69579,27.08764,0.099
1031,5BZBJ0800+6210,BLLacCandidate,120.01729,62.17064,
1032,5BZBJ0800+1645,BLLac,120.07829,16.76583,0.308
1033,5BZQJ0800+5010,QSORLoudflatradiosp.,120.15004,50.179,1.613
1034,5BZBJ0801+6444,BLLacCandidate,120.25896,64.74711,0.2
1035,5BZBJ0801+4401,BLLac,120.2845,44.01953,
1036,5BZBJ0801+1336,BLLac,120.31271,13.61183,1.042
1037,5BZBJ0802+1006,BLLac,120.52008,10.11053,
1038,5BZQJ0802+1809,QSORLoudflatradiosp.,120.70017,18.16361,1.586
1039,5BZBJ0803+2437,BLLac,120.78042,24.63081,
1040,5BZBJ0803+4816,BLLac,120.84596,48.27164,0.503
1041,5BZUJ0804-1712,BlazarUncertaintype,121.14042,-17.20117,1.043
1042,5BZQJ0805+6144,QSORLoudflatradiosp.,121.32562,61.74,3.033
1043,5BZBJ0805+7534,BLLac,121.36096,75.57361,0.121
1044,5BZBJ0806+1330,BLLac,121.56375,13.50556,0.504
1045,5BZBJ0806+5931,BLLac,121.60804,59.51864,
1046,5BZQJ0806+4504,QSORLoudflatradiosp.,121.63946,45.07567,2.102
1047,5BZQJ0807+5117,QSORLoudflatradiosp.,121.75417,51.29408,1.136
1048,5BZBJ0807-0541,BLLac,121.79008,-5.68719,
1049,5BZQJ0808+4752,QSORLoudflatradiosp.,122.06125,47.87908,0.545
1050,5BZQJ0808-0751,QSORLoudflatradiosp.,122.06475,-7.85275,1.837
1051,5BZQJ0808+7315,QSORLoudflatradiosp.,122.06825,73.25339,0.496
1052,5BZQJ0808+4950,QSORLoudflatradiosp.,122.16521,49.84361,1.432
1053,5BZQJ0808+4052,QSORLoudflatradiosp.,122.23596,40.87914,1.418
1054,5BZGJ0809+3122,BLLac-galaxydominated,122.30587,31.37306,0.296
1055,5BZGJ0809+3455,BLLac-galaxydominated,122.41212,34.92706,0.083
1056,5BZQJ0809+5341,QSORLoudflatradiosp.,122.42383,53.69031,2.133
1057,5BZBJ0809+5218,BLLac,122.45496,52.31622,0.138
1058,5BZQJ0810+3847,QSORLoudflatradiosp.,122.54162,38.79933,3.946
1059,5BZGJ0810+4911,BLLac-galaxydominated,122.72754,49.18442,0.115
1060,5BZGJ0810+2846,BLLac-galaxydominated,122.7425,28.77183,0.272
1061,5BZQJ0810+4134,QSORLoudflatradiosp.,122.74587,41.5675,0.507
1062,5BZQJ0811+5714,QSORLoudflatradiosp.,122.7525,57.23681,0.611
1063,5BZBJ0811-7530,BLLac,122.7635,-75.50775,
1064,5BZQJ0811+4533,QSORLoudflatradiosp.,122.7865,45.56356,1.017
1065,5BZBJ0811+0146,BLLac,122.86133,1.78119,1.148
1066,5BZQJ0811+4831,QSORLoudflatradiosp.,122.90508,48.52611,0.703
1067,5BZBJ0812+1141,BLLac,123.10838,11.69961,
1068,5BZQJ0812-1810,QSORLoudflatradiosp.,123.11883,-18.17856,2.973
1069,5BZBJ0812+6509,BLLac,123.17017,65.15303,
1070,5BZBJ0812+5554,BLLac,123.21433,55.90608,0.383
1071,5BZQJ0813+2542,QSORLoudflatradiosp.,123.26596,25.70311,2.024
1072,5BZQJ0814+3237,QSORLoudflatradiosp.,123.53842,32.62556,0.844
1073,5BZBJ0814-1012,BLLacCandidate,123.54871,-10.20286,
1074,5BZBJ0814+2940,BLLac,123.58858,29.67258,
1075,5BZGJ0814+0857,BLLac-galaxydominated,123.59025,8.95178,0.23
1076,5BZBJ0814+6431,BLLac,123.66329,64.52281,
1077,5BZQJ0815+3635,QSORLoudflatradiosp.,123.85808,36.58756,1.028
1078,5BZGJ0816-0735,BLLac-galaxydominated,124.01746,-7.59992,0.04
1079,5BZBJ0816+4910,BLLac,124.03987,49.16789,
1080,5BZBJ0816+5739,BLLac,124.09462,57.65258,
1081,5BZBJ0816-1311,BLLac,124.11337,-13.19794,
1082,5BZBJ0816+6208,BLLacCandidate,124.17958,62.14144,
1083,5BZBJ0816+2051,BLLac,124.20742,20.85181,
1084,5BZBJ0817-0933,BLLac,124.45733,-9.5585,
1085,5BZBJ0817+3243,BLLac,124.46246,32.728,
1086,5BZBJ0818+4222,BLLac,124.56667,42.37933,0.53
1087,5BZBJ0818+2814,BLLac,124.61396,28.23414,0.226
1088,5BZBJ0818+3153,BLLac,124.66692,31.89672,
1089,5BZQJ0819+3226,QSORLoudflatradiosp.,124.75971,32.44369,2.017
1090,5BZBJ0819-0756,BLLacCandidate,124.82325,-7.94056,
1091,5BZBJ0819+2747,BLLac,124.82858,27.79186,
1092,5BZBJ0819+4037,BLLac,124.85792,40.62889,0.389
1093,5BZBJ0819+1429,BLLac,124.88163,14.49378,0.494
1094,5BZBJ0820+3640,BLLac,125.08413,36.66794,
1095,5BZGJ0820+4853,BLLac-galaxydominated,125.11708,48.8965,0.133
1096,5BZBJ0820+2353,BLLac,125.21333,23.89594,0.402
1097,5BZBJ0820-1258,BLLac,125.23938,-12.98308,
1098,5BZQJ0821-0323,QSORLoudflatradiosp.,125.41683,-3.38686,2.352
1099,5BZQJ0821+5031,QSORLoudflatradiosp.,125.47421,50.52247,2.133
1100,5BZQJ0822+4041,QSORLoudflatradiosp.,125.73979,40.69717,0.866
1101,5BZBJ0823+1125,BLLac,125.83567,11.43092,0.441
1102,5BZGJ0823+1524,BLLac-galaxydominated,125.84687,15.41331,0.167
1103,5BZBJ0823+2223,BLLac,125.85317,22.38428,0.951
1104,5BZQJ0823+2928,QSORLoudflatradiosp.,125.92108,29.4745,2.368
1105,5BZQJ0824+5552,QSORLoudflatradiosp.,126.19683,55.87858,1.417
1106,5BZQJ0824-1527,QSORLoudflatradiosp.,126.21508,-15.46275,1.289
1107,5BZQJ0824+3916,QSORLoudflatradiosp.,126.23117,39.27833,1.216
1108,5BZQJ0825+1332,QSORLoudflatradiosp.,126.29971,13.54244,1.143
1109,5BZQJ0825+6157,QSORLoudflatradiosp.,126.41092,61.95797,0.542
1110,5BZQJ0825+2704,QSORLoudflatradiosp.,126.44746,27.07281,0.693
1111,5BZBJ0825+0309,BLLac,126.45979,3.15678,0.506
1112,5BZBJ0826-2230,BLLac,126.50658,-22.50756,0.91
1113,5BZBJ0826+4130,BLLac,126.51646,41.51219,
1114,5BZBJ0827+0841,BLLacCandidate,126.77954,8.68931,
1115,5BZQJ0827+3525,QSORLoudflatradiosp.,126.91083,35.41811,2.25
1116,5BZBJ0828+2312,BLLac,127.00479,23.20494,
1117,5BZGJ0828+4153,BLLac-galaxydominated,127.05921,41.89781,0.226
1118,5BZGJ0829+1754,BLLac-galaxydominated,127.27012,17.90442,0.089
1119,5BZGJ0830+3923,BLLac-galaxydominated,127.58067,39.39628,
1120,5BZQJ0830-0636,QSORLoudflatradiosp.,127.70725,-6.60556,1.73
1121,5BZQJ0830+2410,QSORLoudflatradiosp.,127.71704,24.18331,0.939
1122,5BZGJ0831+5400,BLLac-galaxydominated,127.75154,54.00653,0.062
1123,5BZQJ0831-2228,QSORLoudflatradiosp.,127.78812,-22.47411,1.599
1124,5BZBJ0831+1746,BLLac,127.88775,17.77519,
1125,5BZGJ0831+4608,BLLac-galaxydominated,127.91588,46.13361,0.131
1126,5BZBJ0831+0429,BLLac,127.95367,4.49419,0.174
1127,5BZQJ0831+0847,QSORLoudflatradiosp.,127.97954,8.79544,0.941
1128,5BZBJ0832+4913,BLLac,128.09671,49.22256,
1129,5BZBJ0832+3300,BLLac,128.21442,33.00306,0.672
1130,5BZQJ0833+0350,QSORLoudflatradiosp.,128.32888,3.84236,0.903
1131,5BZQJ0833-7305,QSORLoudflatradiosp.,128.42975,-73.09061,1.989
1132,5BZQJ0833+4224,QSORLoudflatradiosp.,128.4745,42.40053,0.249
1133,5BZBJ0833+4726,BLLac,128.48783,47.44806,0.494
1134,5BZQJ0834+6019,QSORLoudflatradiosp.,128.57312,60.32975,0.72
1135,5BZBJ0834+1825,BLLac,128.57333,18.41717,0.336
1136,5BZQJ0834-2241,QSORLoudflatradiosp.,128.68408,-22.68689,1.064
1137,5BZGJ0834+5534,BLLac-galaxydominated,128.72904,55.57278,0.242
1138,5BZBJ0834+4403,BLLac,128.7425,44.06064,
1139,5BZBJ0835+0937,BLLac,128.93,9.62167,
1140,5BZQJ0835+6835,QSORLoudflatradiosp.,128.94846,68.58667,1.414
1141,5BZGJ0835+1517,BLLac-galaxydominated,128.95058,15.28808,0.169
1142,5BZQJ0836+0053,QSORLoudflatradiosp.,129.06588,0.88347,1.826
1143,5BZQJ0836+2728,QSORLoudflatradiosp.,129.09537,27.48128,0.765
1144,5BZQJ0836+4125,QSORLoudflatradiosp.,129.15375,41.43189,1.301
1145,5BZQJ0836-2016,QSORLoudflatradiosp.,129.16337,-20.28322,2.752
1146,5BZQJ0836-2233,QSORLoudflatradiosp.,129.21154,-22.55281,0.837
1147,5BZQJ0837+5825,QSORLoudflatradiosp.,129.34342,58.41731,2.101
1148,5BZBJ0837+1458,BLLac,129.35296,14.97217,0.278
1149,5BZQJ0837+2454,QSORLoudflatradiosp.,129.41767,24.90636,1.122
1150,5BZBJ0837+1759,BLLac,129.43333,17.98889,0.313
